DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,Category
2019-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2019-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,32,1,Good,"{'Number': 1, 'Name': 'Good'}"
2019-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,48,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,62,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,74,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,24,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,57,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,20,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,32,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2020-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,42,1,Good,"{'Number': 1, 'Name': 'Good'}"
2020-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,72,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,60,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,47,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,36,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,40,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,51,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,62,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,35,1,Good,"{'Number': 1, 'Name': 'Good'}"
2021-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2021-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,60,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,63,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,31,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,49,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,65,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,47,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,45,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,28,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,27,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2022-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,43,1,Good,"{'Number': 1, 'Name': 'Good'}"
2022-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,55,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,46,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,23,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-05-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-06-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,65,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-06-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,50,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-07-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,111,3,Unhealthy for Sensitive Groups,"{'Number': 3, 'Name': 'Unhealthy for Sensitive Groups'}"
2023-07-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,57,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-08-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,34,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-08-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-09-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,21,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-09-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,29,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-10-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,60,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-10-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,18,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-11-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,33,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-11-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,41,1,Good,"{'Number': 1, 'Name': 'Good'}"
2023-12-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,65,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2023-12-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,61,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-01-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,58,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-01-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,53,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-02-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,68,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-02-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,38,1,Good,"{'Number': 1, 'Name': 'Good'}"
2024-03-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,39,1,Good,"{'Number': 1, 'Name': 'Good'}"
2024-03-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,56,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-04-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,54,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-04-15,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,52,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
2024-05-01,0,EST,New York City Region,NY,40.8419,-73.8359,PM2.5,60,2,Moderate,"{'Number': 2, 'Name': 'Moderate'}"
